ResourceType      Locations      Name                  Zones    Restrictions
----------------  -------------  --------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------
availabilitySets  southeastasia  Aligned                        None
availabilitySets  southeastasia  Classic                        None
virtualMachines   southeastasia  Standard_E32-16s_v3   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32-16s_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32-8ds_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32-8s_v3    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32-8s_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4-2ds_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4-2s_v3     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4-2s_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E48_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E4_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
